algo,size,repeats,avg_ms,std_ms,mem_start_mb,mem_end_mb,logical_cores,parallel_workers
NAIVE,300,3,1691.405700,4.720001,39.124,40.464,12,1
BLOCKED,300,3,1436.108633,14.934705,41.133,41.133,12,1
UNROLLED,300,3,1659.645033,0.568431,41.135,41.137,12,1
NUMPY,300,3,10.929033,1.555262,42.029,42.482,12,1
PARALLEL,300,3,1225.852167,64.698638,43.977,44.595,12,4
NAIVE,600,3,13711.851967,133.742540,67.742,69.040,12,1
BLOCKED,600,3,11688.205067,21.766282,69.852,70.607,12,1
UNROLLED,600,3,14320.812800,53.413776,71.523,72.566,12,1
NUMPY,600,3,37.286767,5.150463,73.646,74.301,12,1
PARALLEL,600,3,6932.848700,55.052197,75.581,75.676,12,4
NAIVE,900,3,46937.378633,1592.374939,104.167,105.600,12,1
BLOCKED,900,3,40051.901000,242.631709,106.798,107.868,12,1
UNROLLED,900,3,49489.588633,905.273254,108.760,109.682,12,1
NUMPY,900,3,79.425933,7.662100,110.783,111.918,12,1
PARALLEL,900,3,21176.875467,1219.302755,114.327,116.116,12,4
